experiment,seed,num_corrections,total_correction_magnitude,max_correction,avg_correction,episode_length_cert,episode_length_uncert,constraint_violations_cert,constraint_violations_uncert,rmse_cert,rmse_uncert,theta_max,theta_dot_max
full_reward,42,15,0.6443954272922545,0.25684714167521805,0.014610178008638987,150,150,0,1,1.2210738820775808,1.0548895508350618,0.10445588079614121,0.7949065934299497
correction_only,42,1,1.5397927184113187e-06,1.4852959924205322e-06,2.0134014626360663e-08,150,150,0,0,1.4720196283103777,1.2890130249800344,0.10445588079614121,0.4677390847873715
correction_only,62,1,1.5397927184113187e-06,1.4852959924205322e-06,2.0134014626360663e-08,150,150,0,0,1.4720196283103777,1.2890130249800344,0.10445588079614121,0.4677390847873715
correction_only,821,1,1.5397927184113187e-06,1.4852959924205322e-06,2.0134014626360663e-08,150,150,0,0,1.4720196283103777,1.2890130249800344,0.10445588079614121,0.4677390847873715
state_only,42,150,125.71703323001367,15.92573244075626,9.75275262257132,150,19,62,15,1.8912016003505883,0.7556637802993661,0.1618600975748126,0.5407966148608889
state_only,62,150,125.71703323001367,15.92573244075626,9.75275262257132,150,19,62,15,1.8912016003505883,0.7556637802993661,0.1618600975748126,0.5407966148608889
state_only,821,150,125.71703323001367,15.92573244075626,9.75275262257132,150,19,62,15,1.8912016003505883,0.7556637802993661,0.1618600975748126,0.5407966148608889
no_correction_mag,42,131,72.3233687435391,11.757053520400408,4.543876846151605,150,87,15,61,1.7613843383407046,1.2815612197660826,0.16056530443207548,0.6384427928087028
no_correction_mag,62,131,72.3233687435391,11.757053520400408,4.543876846151605,150,87,15,61,1.7613843383407046,1.2815612197660826,0.16056530443207548,0.6384427928087028
no_correction_mag,821,131,72.3233687435391,11.757053520400408,4.543876846151605,150,87,15,61,1.7613843383407046,1.2815612197660826,0.16056530443207548,0.6384427928087028
no_correction_ratio,42,89,5.763816175528582,1.0802083179731303,0.32118295231046906,150,150,0,25,0.7628094709600904,0.9328599173119146,0.11211003544191146,0.27032354182476426
no_correction_ratio,62,89,5.763816175528582,1.0802083179731303,0.32118295231046906,150,150,0,25,0.7628094709600904,0.9328599173119146,0.11211003544191146,0.27032354182476426
no_correction_ratio,821,89,5.763816175528582,1.0802083179731303,0.32118295231046906,150,150,0,25,0.7628094709600904,0.9328599173119146,0.11211003544191146,0.27032354182476426
no_correction_bonus,42,150,112.34662991725816,10.428171093046972,8.95178731223443,150,33,117,22,2.0312705379362557,1.7379626612875396,0.1584340465855694,1.0388821791251888
no_correction_bonus,62,150,112.34662991725816,10.428171093046972,8.95178731223443,150,33,117,22,2.0312705379362557,1.7379626612875396,0.1584340465855694,1.0388821791251888
no_correction_bonus,821,150,112.34662991725816,10.428171093046972,8.95178731223443,150,33,117,22,2.0312705379362557,1.7379626612875396,0.1584340465855694,1.0388821791251888
no_correction_penalty,42,30,8.658498907385482,3.189681282186764,0.25337275854545194,150,150,0,0,0.638582600508341,0.5618681378322586,0.13175946777157502,0.37775333001835604
no_correction_penalty,62,30,8.658498907385482,3.189681282186764,0.25337275854545194,150,150,0,0,0.638582600508341,0.5618681378322586,0.13175946777157502,0.37775333001835604
no_correction_penalty,821,30,8.658498907385482,3.189681282186764,0.25337275854545194,150,150,0,0,0.638582600508341,0.5618681378322586,0.13175946777157502,0.37775333001835604
no_theta,42,108,11.369828557326544,1.8786400880884788,0.7059129063935898,150,150,0,59,1.1735103806367677,1.0578628984786307,0.12700609800288912,0.3215866850886807
no_theta,62,108,11.369828557326544,1.8786400880884788,0.7059129063935898,150,150,0,59,1.1735103806367677,1.0578628984786307,0.12700609800288912,0.3215866850886807
no_theta,821,108,11.369828557326544,1.8786400880884788,0.7059129063935898,150,150,0,59,1.1735103806367677,1.0578628984786307,0.12700609800288912,0.3215866850886807
no_velocity,42,150,98.20045037400448,16.587767501416394,7.471659523855229,150,20,90,16,1.9947445338578669,1.049070957796757,0.16051148399578072,0.9507383226531685
no_velocity,62,150,98.20045037400448,16.587767501416394,7.471659523855229,150,20,90,16,1.9947445338578669,1.049070957796757,0.16051148399578072,0.9507383226531685
no_velocity,821,150,98.20045037400448,16.587767501416394,7.471659523855229,150,20,90,16,1.9947445338578669,1.049070957796757,0.16051148399578072,0.9507383226531685
no_oscillation,42,103,11.146035870507367,2.6601895523829806,0.5731634036897455,150,150,0,40,1.6290013419703622,1.7802367392460108,0.14092882807142854,0.2456411518923686
no_oscillation,62,103,11.146035870507367,2.6601895523829806,0.5731634036897455,150,150,0,40,1.6290013419703622,1.7802367392460108,0.14092882807142854,0.2456411518923686
no_oscillation,821,103,11.146035870507367,2.6601895523829806,0.5731634036897455,150,150,0,40,1.6290013419703622,1.7802367392460108,0.14092882807142854,0.2456411518923686
no_stability_penalty,42,139,103.49917979886841,15.280896233832905,7.1427042099934654,150,52,49,33,1.8853467495521374,1.5528944295787694,0.16183204477199944,0.4865173451960992
no_stability_penalty,62,139,103.49917979886841,15.280896233832905,7.1427042099934654,150,52,49,33,1.8853467495521374,1.5528944295787694,0.16183204477199944,0.4865173451960992
no_stability_penalty,821,139,103.49917979886841,15.280896233832905,7.1427042099934654,150,52,49,33,1.8853467495521374,1.5528944295787694,0.16183204477199944,0.4865173451960992
