step,stat/constraint_violation
2000,1129
4000,2133
6000,3193
8000,4235
10000,5183
12000,6150
14000,7049
16000,8013
18000,8747
20000,9443
22000,10221
24000,10828
26000,11507
28000,12036
30000,12477
32000,13060
34000,13506
36000,14302
38000,14952
40000,15505
42000,16097
44000,17082
46000,17797
48000,18465
50000,18838
52000,19345
54000,19733
56000,20046
58000,20366
60000,20983
62000,21303
64000,21559
66000,21893
68000,22355
70000,22901
72000,23320
74000,23614
76000,23864
78000,24226
80000,24513
82000,24878
84000,25302
86000,25761
88000,26182
90000,26530
92000,26960
94000,27445
96000,27746
98000,27906
100000,28064
