step,loss/value_loss
2000,271228.654228286
4000,644740.923639598
6000,2075641.8398409996
8000,649395.8480539174
10000,1130207.2180744756
12000,1104690.8710453156
14000,103271.79377191362
16000,1367528.044742499
18000,2273296.792874692
20000,105486.24469261747
22000,99318.14168169533
24000,514600.2004422674
26000,554536.0615357008
28000,486682.0215594169
30000,1689964.8659094493
32000,36254.15636344376
34000,774401.5177333851
36000,2098974.435053128
38000,232220.54097927245
40000,694421.4418745005
42000,120472.88230718617
44000,359412.7770214093
46000,401281.9281085002
48000,177048.633374734
50000,300003.7052877055
52000,159492.0909951569
54000,284879.8512786891
56000,183071.99678827712
58000,309792.60721951106
60000,223570.1674841986
62000,230912.34519215976
64000,63437.44840826459
66000,24219.156920772446
68000,256198.62663848806
70000,297609.39838561084
72000,283520.98883321247
74000,1244165.8032343902
76000,1161800.3367549726
78000,476688.8119917174
80000,270993.3995137296
82000,120057.92470906282
84000,353883.71030259616
86000,143580.92875563662
88000,137854.13407856596
90000,142831.01407575654
92000,340926.8076311186
94000,527540.019566146
96000,58881.190314042324
98000,44551.59827308848
100000,288500.83270732936
