step,stat/ep_constraint_violation
2000,10.4
4000,10.7
6000,13.9
8000,15.8
10000,17.9
12000,24.1
14000,22.3
16000,19.7
18000,18.4
20000,21.6
22000,27.5
24000,15.7
26000,25.6
28000,27.1
30000,29.8
32000,39.3
34000,31.4
36000,22.9
38000,30.9
40000,33.1
42000,33.9
44000,16.5
46000,20.9
48000,37.3
50000,15.9
52000,22.3
54000,23.7
56000,20.0
58000,21.5
60000,26.6
62000,25.6
64000,21.0
66000,24.3
68000,32.9
70000,22.1
72000,31.5
74000,18.6
76000,16.8
78000,26.4
80000,23.9
82000,23.7
84000,31.6
86000,33.0
88000,30.9
90000,18.5
92000,29.3
94000,34.6
96000,22.5
98000,13.1
100000,12.4
