step,loss/entropy_loss
2000,-0.9031557947397232
4000,-0.8662896176179251
6000,-0.847272632519404
8000,-0.8193801214297614
10000,-0.8122601846853892
12000,-0.8062390228112537
14000,-0.811617120107015
16000,-0.7822321653366089
18000,-0.7875968287388484
20000,-0.7509118070205053
22000,-0.7462527215480804
24000,-0.7157321959733963
26000,-0.7066617250442505
28000,-0.7041159609953562
30000,-0.6967079500357309
32000,-0.6888843357563019
34000,-0.6853626718123753
36000,-0.6916859139998753
38000,-0.6772361298402151
40000,-0.6692380378643672
42000,-0.7026707818110783
44000,-0.7163658738136292
46000,-0.7163658738136292
48000,-0.7197728157043457
50000,-0.7207097788651785
52000,-0.7165567298730214
54000,-0.7231968512137731
56000,-0.732898610830307
58000,-0.730790287256241
60000,-0.724747759103775
62000,-0.7172567387421926
64000,-0.7304570804039636
66000,-0.736718612909317
68000,-0.7433043092489243
70000,-0.7527581115563711
72000,-0.733547035853068
74000,-0.7302652915318808
76000,-0.7148701200882595
78000,-0.7347818533579508
80000,-0.7345840642849604
82000,-0.7406669775644937
84000,-0.7349076420068741
86000,-0.7295949220657347
88000,-0.7126328786214192
90000,-0.7162391275167466
92000,-0.7042685906092326
94000,-0.7150080700715382
96000,-0.7227502504984538
98000,-0.7363285541534424
100000,-0.7410905698935191
