step,loss/value_loss
2000,498187.86620865285
4000,951895.1174161133
6000,2368529.1949056783
8000,642032.3620870807
10000,1124176.877816588
12000,385591.4984402975
14000,758380.8921701994
16000,991063.7168415403
18000,2551050.794058147
20000,630005.0356150601
22000,207431.9726880276
24000,2154179.3776627583
26000,1315109.1335659474
28000,510523.8359946439
30000,1543494.1603164054
32000,618917.2103002209
34000,1246613.6168813836
36000,1491952.6312043879
38000,869815.9832511598
40000,588182.3859160765
42000,756186.3554216261
44000,572655.7358682604
46000,1937308.7341797121
48000,1766971.667035152
50000,1068964.5512780673
52000,1265836.642474473
54000,1987404.6740455143
56000,934595.0225602856
58000,1719682.001026316
60000,1069491.8349451427
62000,200120.03031258934
64000,482893.4798498323
66000,53759.32917517536
68000,86227.70132338369
70000,1423513.4030482818
72000,1818880.2501550596
74000,217807.43592022834
76000,676423.4036222715
78000,1044633.4141067698
80000,209344.16848217684
82000,386831.45450666687
84000,1050479.445267301
86000,1181100.0184846774
88000,2655156.033384665
90000,1384610.77203545
92000,1932602.575906403
94000,2097727.523570312
96000,1042298.6021876748
98000,117005.29582097114
100000,28370.436845326643
