step,stat/constraint_violation
2000,1113
4000,2169
6000,3261
8000,4267
10000,5251
12000,6270
14000,7146
16000,8072
18000,9068
20000,9987
22000,10948
24000,11981
26000,12620
28000,13389
30000,14145
32000,15246
34000,16178
36000,17104
38000,17953
40000,18891
42000,19695
44000,20877
46000,22240
48000,23641
50000,24874
52000,25796
54000,26548
56000,27412
58000,28552
60000,29375
62000,30133
64000,30923
66000,31733
68000,32398
70000,33163
72000,34151
74000,34871
76000,35622
78000,36252
80000,36843
82000,37441
84000,38138
86000,38907
88000,39650
90000,40647
92000,41313
94000,42257
96000,42987
98000,43399
100000,43770
