step,stat/ep_constraint_violation
2000,10.0
4000,11.8
6000,19.2
8000,13.0
10000,19.5
12000,16.4
14000,15.9
16000,19.9
18000,25.4
20000,20.9
22000,23.5
24000,19.3
26000,23.5
28000,27.0
30000,23.6
32000,21.1
34000,25.2
36000,18.9
38000,24.7
40000,36.8
42000,26.1
44000,13.8
46000,12.2
48000,15.1
50000,15.4
52000,20.4
54000,45.1
56000,29.7
58000,26.5
60000,20.0
62000,25.4
64000,28.4
66000,25.2
68000,37.4
70000,27.1
72000,25.4
74000,24.0
76000,26.8
78000,34.0
80000,34.1
82000,34.9
84000,33.2
86000,40.3
88000,31.3
90000,43.9
92000,30.5
94000,52.1
96000,41.8
98000,36.2
100000,33.0
