step,stat/constraint_violation
2000,1124
4000,2245
6000,3391
8000,4377
10000,5295
12000,6251
14000,7117
16000,8037
18000,8918
20000,9704
22000,10749
24000,11909
26000,12669
28000,13641
30000,14486
32000,15347
34000,16121
36000,17099
38000,18083
40000,18911
42000,19674
44000,20432
46000,21202
48000,21953
50000,22709
52000,23516
54000,24134
56000,24812
58000,25605
60000,26376
62000,27173
64000,27900
66000,28760
68000,29443
70000,30363
72000,31034
74000,31671
76000,32282
78000,32998
80000,33645
82000,34455
84000,35173
86000,35787
88000,36436
90000,37327
92000,37939
94000,38616
96000,39053
98000,39520
100000,40210
