step,stat/ep_constraint_violation
2000,12.9
4000,11.8
6000,18.4
8000,14.6
10000,16.6
12000,16.3
14000,18.7
16000,19.6
18000,21.0
20000,22.8
22000,21.7
24000,18.4
26000,17.2
28000,24.1
30000,27.8
32000,17.4
34000,19.4
36000,20.2
38000,18.7
40000,17.9
42000,23.9
44000,22.0
46000,21.1
48000,15.5
50000,25.9
52000,25.5
54000,23.5
56000,19.2
58000,23.1
60000,17.6
62000,20.7
64000,17.1
66000,25.5
68000,30.3
70000,33.8
72000,26.2
74000,25.6
76000,18.4
78000,33.4
80000,32.2
82000,43.7
84000,36.3
86000,30.4
88000,49.4
90000,67.7
92000,41.5
94000,45.2
96000,31.4
98000,43.3
100000,52.9
