step,loss/entropy_loss
2000,-0.9143104672431945
4000,-0.90476196706295
6000,-0.904169402519862
8000,-0.8918480386336644
10000,-0.8558662613232931
12000,-0.834507683912913
14000,-0.8176806092262268
16000,-0.8020571768283844
18000,-0.7780883659919102
20000,-0.7659890562295913
22000,-0.7762029071648916
24000,-0.7822667668263117
26000,-0.7778313408295314
28000,-0.7703582336505254
30000,-0.7684582541386286
32000,-0.7531139681736627
34000,-0.7625860432783762
36000,-0.7635640849669775
38000,-0.7350605795780818
40000,-0.7231250087420146
42000,-0.7126358071962993
44000,-0.6862381637096404
46000,-0.6622097859779993
48000,-0.6486573666334152
50000,-0.6426594803730648
52000,-0.6313259035348893
54000,-0.6132940729459126
56000,-0.6004425207773844
58000,-0.6139984508355458
60000,-0.6189044862985611
62000,-0.6042346209287643
64000,-0.6122842262188594
66000,-0.616631347934405
68000,-0.6234423667192459
70000,-0.617983165383339
72000,-0.6014301280180613
74000,-0.595223511258761
76000,-0.5740919828414917
78000,-0.572013771533966
80000,-0.5609343876441318
82000,-0.560619443655014
84000,-0.5398654202620189
86000,-0.5305892030398052
88000,-0.529661026597023
90000,-0.525002658367157
92000,-0.5051690171162287
94000,-0.5056942582130433
96000,-0.5179383317629497
98000,-0.5228265732526778
100000,-0.5099266449610392
