step,stat/ep_length
2000,11.8
4000,19.7
6000,31.2
8000,38.0
10000,23.4
12000,48.8
14000,40.0
16000,46.2
18000,46.4
20000,54.7
22000,54.8
24000,70.5
26000,71.8
28000,39.5
30000,43.3
32000,48.9
34000,78.1
36000,40.1
38000,44.9
40000,64.4
42000,61.5
44000,36.2
46000,41.8
48000,70.6
50000,111.5
52000,74.4
54000,89.8
56000,93.9
58000,126.8
60000,146.7
62000,96.8
64000,79.4
66000,91.7
68000,110.9
70000,108.8
72000,122.1
74000,89.8
76000,114.1
78000,89.6
80000,112.1
82000,117.8
84000,116.2
86000,90.1
88000,122.3
90000,126.3
92000,86.7
94000,81.8
96000,55.7
98000,57.7
100000,76.3
