step,loss/value_loss
2000,679150.7922961396
4000,1493150.1096202317
6000,2075309.2587237873
8000,1053940.9350005866
10000,1526175.6075042028
12000,2364382.3999176114
14000,1033737.943177068
16000,1103012.270232988
18000,3934773.6038811235
20000,345794.3744034956
22000,1333995.7621034987
24000,1445652.6303121843
26000,1975960.7438562461
28000,1707648.9927387019
30000,3083463.587719889
32000,1048397.4709582601
34000,2326686.1591484733
36000,2632326.7392523987
38000,1129079.4542537637
40000,2296001.0405759
42000,2262608.3874671115
44000,1868726.939506925
46000,2133388.918458507
48000,2502532.9084245735
50000,913992.709325584
52000,2543178.110683243
54000,2150890.8158655884
56000,2366174.239457241
58000,2335991.212814459
60000,2323825.8506187345
62000,1989204.2787360437
64000,1578447.0184568034
66000,2326519.521653599
68000,1074163.0463888347
70000,1528928.7184005037
72000,2157274.5190392947
74000,722596.7390512429
76000,2275495.419286063
78000,2368187.5504690357
80000,1379963.2064922235
82000,1926006.9769110277
84000,2605431.579468634
86000,1003947.1513937513
88000,2124458.896826426
90000,2293477.091854793
92000,1613755.3047604498
94000,2202719.1214883677
96000,2362433.159350048
98000,664429.8863861528
100000,2047118.7084152687
