step,stat/ep_constraint_violation
2000,10.2
4000,11.9
6000,13.8
8000,13.8
10000,17.3
12000,17.6
14000,13.4
16000,18.8
18000,25.2
20000,18.2
22000,29.1
24000,24.1
26000,21.3
28000,24.7
30000,31.9
32000,24.7
34000,32.6
36000,29.2
38000,33.5
40000,20.0
42000,29.8
44000,28.3
46000,19.2
48000,30.5
50000,28.0
52000,37.6
54000,28.2
56000,29.5
58000,20.2
60000,28.6
62000,32.4
64000,19.8
66000,31.1
68000,28.1
70000,29.9
72000,27.9
74000,31.2
76000,29.9
78000,30.3
80000,31.0
82000,20.9
84000,33.1
86000,28.0
88000,33.5
90000,34.7
92000,24.6
94000,29.1
96000,32.3
98000,31.3
100000,34.9
