step,adv_reward/adv_reward_scaled_min
2000,-51.75111770629883
4000,-99.99967956542969
6000,100.0
8000,99.98240661621094
10000,97.67965698242188
12000,65.16241455078125
14000,69.45313262939453
16000,100.0
18000,100.0
20000,98.99629974365234
22000,100.0
24000,99.99996948242188
26000,-99.99967956542969
28000,26.45323944091797
30000,100.0
32000,100.0
34000,100.0
36000,100.0
38000,100.0
40000,100.0
42000,100.0
44000,100.0
46000,100.0
48000,100.0
50000,100.0
52000,100.0
54000,100.0
56000,100.0
58000,100.0
60000,100.0
62000,100.0
64000,100.0
66000,100.0
68000,100.0
70000,100.0
72000,100.0
74000,100.0
76000,100.0
78000,100.0
80000,100.0
82000,99.99999237060547
84000,100.0
86000,100.0
88000,-99.99967956542969
90000,100.0
92000,100.0
94000,100.0
96000,100.0
98000,100.0
100000,100.0
