step,loss/value_loss
2000,1209622.9994416202
4000,1804487.0821881064
6000,671862.6243746289
8000,714633.7711634202
10000,2274173.022782009
12000,1081273.2120963417
14000,1792328.2951084643
16000,1522350.2913916414
18000,1486415.1093046102
20000,684310.9587275318
22000,2848309.237019939
24000,1529553.6433063853
26000,1701048.9488407809
28000,306099.2394781308
30000,2371599.8497060332
32000,1129216.7582464465
34000,1926189.7660067957
36000,1196830.7919535083
38000,822251.7286765727
40000,2344729.3012311705
42000,803897.3921292209
44000,1763650.8774716605
46000,2420972.8848880376
48000,1537484.4279399945
50000,1162258.0607012662
52000,2796626.851908622
54000,1842350.6975307255
56000,1304748.3232879636
58000,1665531.4146180942
60000,1591153.9156278535
62000,828745.721159905
64000,1931015.3579809447
66000,1345745.0479081701
68000,1009602.7461303768
70000,2794754.8527889303
72000,1543461.1189869936
74000,1234172.1574099185
76000,1001984.988610435
78000,723750.7292361109
80000,1773402.8339937956
82000,1167403.727076207
84000,1329142.8393584467
86000,1516070.7640409651
88000,1432701.4855392408
90000,769839.3203527944
92000,1152244.3560187817
94000,1838613.536301752
96000,1182112.0480205095
98000,1135843.5141146397
100000,943203.4283186703
