step,stat/constraint_violation
2000,1273
4000,2562
6000,3866
8000,5101
10000,6254
12000,7409
14000,8461
16000,9575
18000,10604
20000,11479
22000,12535
24000,13519
26000,14456
28000,15397
30000,16321
32000,17126
34000,17980
36000,19315
38000,20331
40000,21271
42000,22152
44000,23277
46000,24646
48000,26062
50000,27374
52000,28629
54000,29943
56000,31297
58000,32668
60000,34127
62000,35358
64000,36718
66000,38188
68000,39469
70000,40859
72000,42148
74000,43731
76000,45075
78000,46503
80000,47953
82000,49466
84000,50866
86000,52297
88000,53833
90000,55288
92000,56714
94000,58348
96000,59824
98000,61344
100000,62900
