step,stat/ep_length
2000,12.8
4000,13.9
6000,27.8
8000,32.3
10000,18.4
12000,35.0
14000,36.9
16000,39.7
18000,45.0
20000,42.6
22000,23.3
24000,41.8
26000,46.7
28000,41.2
30000,49.5
32000,50.1
34000,61.4
36000,46.0
38000,41.1
40000,48.9
42000,41.9
44000,40.1
46000,46.2
48000,38.0
50000,44.5
52000,40.0
54000,41.5
56000,42.5
58000,41.4
60000,40.4
62000,39.0
64000,42.6
66000,38.6
68000,38.4
70000,47.5
72000,38.9
74000,37.0
76000,41.1
78000,24.9
80000,22.7
82000,38.9
84000,40.6
86000,28.5
88000,43.3
90000,40.4
92000,25.4
94000,40.6
96000,38.8
98000,22.4
100000,37.6
