step,stat/constraint_violation
2000,1058
4000,2180
6000,3288
8000,4377
10000,5341
12000,6293
14000,7152
16000,8000
18000,9135
20000,10062
22000,11115
24000,11904
26000,12512
28000,13308
30000,14289
32000,15127
34000,15938
36000,16933
38000,17498
40000,18297
42000,19117
44000,19861
46000,20538
48000,21236
50000,21795
52000,22489
54000,23423
56000,24192
58000,25137
60000,25833
62000,26634
64000,27322
66000,28004
68000,28622
70000,29306
72000,30232
74000,31049
76000,31742
78000,32198
80000,32815
82000,33342
84000,33864
86000,34362
88000,35113
90000,35903
92000,36455
94000,36951
96000,37754
98000,38409
100000,39011
