step,loss/approx_kl
2000,-0.06533685290099434
4000,-0.03330057707304756
6000,-0.09572439417243003
8000,-0.043894818999494115
10000,-0.08203934971243144
12000,-0.06318023400381206
14000,-0.05320551551412791
16000,-0.025707899018501235
18000,0.19366815319905678
20000,-0.03170068234515687
22000,-0.048536891226346295
24000,-0.0792240772706767
26000,-0.06963355872624863
28000,-0.04760728670128932
30000,0.1360981254838407
32000,-0.06309285293488454
34000,0.08213820333282153
36000,-0.05094305383972823
38000,0.05107830216487249
40000,-0.07111346456222237
42000,-0.060054566524922845
44000,-0.058052105417785535
46000,-0.030174557639596367
48000,-0.0382023484678939
50000,-0.06828873843575518
52000,-0.04491677077021449
54000,0.251348386456569
56000,-0.007186237939943868
58000,-0.09856435947585851
60000,-0.021765620626198752
62000,-0.036644037929363556
64000,-0.06207880572571108
66000,-0.04580828371302536
68000,-0.059017837063098946
70000,-0.01772107189365973
72000,0.03364958114301165
74000,-0.08174226114836833
76000,-0.057713277800939974
78000,-0.024974725185893474
80000,-0.04771631407396247
82000,-0.047071447409689424
84000,-0.05187476062371086
86000,-0.0177127820905298
88000,-0.060925759033610416
90000,-0.08679780596867204
92000,-0.052748219684387254
94000,-0.06768710270213585
96000,-0.041855090647004545
98000,0.023115419037640094
100000,-0.05196249623162051
