step,stat/ep_constraint_violation
2000,9.1
4000,12.1
6000,11.0
8000,15.8
10000,19.6
12000,20.0
14000,22.1
16000,25.9
18000,28.6
20000,26.8
22000,25.6
24000,19.7
26000,25.3
28000,24.7
30000,41.6
32000,32.7
34000,40.8
36000,27.6
38000,33.1
40000,28.7
42000,36.6
44000,32.8
46000,27.5
48000,18.7
50000,34.9
52000,37.5
54000,48.7
56000,28.6
58000,26.1
60000,20.2
62000,24.3
64000,33.7
66000,34.7
68000,59.3
70000,37.7
72000,20.5
74000,17.9
76000,24.0
78000,22.4
80000,22.5
82000,31.1
84000,34.1
86000,38.3
88000,21.3
90000,38.7
92000,41.1
94000,41.8
96000,55.8
98000,39.9
100000,52.3
