step,loss/value_loss
2000,689437.4719090469
4000,2117177.3333588145
6000,1886690.7610477407
8000,762598.8805573421
10000,1602201.3259001668
12000,2320362.0450974116
14000,1924571.6144270524
16000,2456497.167776638
18000,3335266.610893755
20000,2690080.428728995
22000,2009170.0573701623
24000,3084185.9022610523
26000,2340410.4943493274
28000,1417919.748650044
30000,3822301.1883948543
32000,1947928.8286286287
34000,2413903.4805981154
36000,2122765.3600642234
38000,1496758.0815755946
40000,2817499.19177244
42000,1834910.0582892168
44000,1492429.5125999912
46000,1594993.7355283916
48000,1265437.1822559533
50000,1482889.080587326
52000,2547463.667488628
54000,4557538.433645498
56000,1683709.8220853184
58000,1234479.1003719284
60000,2076113.3682568427
62000,1501333.4804665667
64000,1540739.9408227683
66000,2537037.5527046965
68000,1767344.8365110252
70000,2611768.2980944565
72000,2111145.76483013
74000,1127070.7993097648
76000,1243009.8051937767
78000,1256766.1688213455
80000,2141915.566969522
82000,2054057.8230814233
84000,2568116.100296067
86000,2553298.771706865
88000,3570876.976759651
90000,2575075.4846951114
92000,1517512.7482881402
94000,3869191.669844699
96000,2764061.427601251
98000,2866742.1630268814
100000,2287865.57844615
