step,stat/ep_length
2000,27.8
4000,15.3
6000,28.6
8000,34.8
10000,42.2
12000,45.8
14000,49.5
16000,49.2
18000,45.6
20000,51.1
22000,48.7
24000,62.8
26000,75.3
28000,51.4
30000,68.9
32000,54.4
34000,67.6
36000,51.9
38000,86.3
40000,63.2
42000,85.1
44000,59.1
46000,71.6
48000,62.8
50000,96.8
52000,79.4
54000,87.6
56000,47.9
58000,49.6
60000,64.1
62000,52.4
64000,68.5
66000,79.3
68000,133.6
70000,86.8
72000,40.4
74000,44.7
76000,50.7
78000,107.8
80000,71.2
82000,89.9
84000,117.9
86000,105.6
88000,39.4
90000,128.1
92000,91.7
94000,120.5
96000,149.8
98000,72.2
100000,136.6
