step,adv_reward/adv_reward_scaled_min
2000,99.97139739990234
4000,-99.99967956542969
6000,100.0
8000,99.97748565673828
10000,100.0
12000,99.9954833984375
14000,100.0
16000,-54.070594787597656
18000,-92.22879791259766
20000,100.0
22000,-90.47029876708984
24000,99.99472045898438
26000,100.0
28000,93.81033325195312
30000,99.99996185302734
32000,100.0
34000,100.0
36000,100.0
38000,100.0
40000,100.0
42000,100.0
44000,100.0
46000,100.0
48000,100.0
50000,100.0
52000,100.0
54000,100.0
56000,100.0
58000,-99.99967956542969
60000,100.0
62000,100.0
64000,100.0
66000,100.0
68000,100.0
70000,100.0
72000,100.0
74000,-99.99967956542969
76000,100.0
78000,100.0
80000,-99.99967956542969
82000,99.97110748291016
84000,100.0
86000,100.0
88000,100.0
90000,99.8459243774414
92000,100.0
94000,100.0
96000,100.0
98000,99.61199188232422
100000,-1.7352604866027832
