step,stat/constraint_violation
2000,1152
4000,2273
6000,3387
8000,4458
10000,5442
12000,6401
14000,7511
16000,8506
18000,9351
20000,10393
22000,11391
24000,12326
26000,13074
28000,13927
30000,14940
32000,15985
34000,17081
36000,18242
38000,19283
40000,20334
42000,21236
44000,22371
46000,23751
48000,25226
50000,26487
52000,27807
54000,29131
56000,30426
58000,31669
60000,33128
62000,34381
64000,35757
66000,37063
68000,38304
70000,39652
72000,41038
74000,42280
76000,43587
78000,45014
80000,46323
82000,47691
84000,49135
86000,50375
88000,51726
90000,53139
92000,54452
94000,55731
96000,57005
98000,57923
100000,58490
