step,stat/ep_length
2000,28.7
4000,15.4
6000,28.5
8000,31.9
10000,22.3
12000,41.2
14000,38.5
16000,25.1
18000,46.0
20000,34.4
22000,29.0
24000,46.0
26000,52.9
28000,47.6
30000,35.4
32000,41.1
34000,25.5
36000,38.9
38000,37.4
40000,41.4
42000,68.3
44000,39.5
46000,25.0
48000,45.3
50000,41.7
52000,39.5
54000,41.8
56000,40.6
58000,45.2
60000,39.9
62000,36.4
64000,41.3
66000,48.8
68000,38.2
70000,41.7
72000,42.1
74000,43.3
76000,25.1
78000,42.4
80000,37.7
82000,26.4
84000,42.2
86000,43.8
88000,40.0
90000,40.3
92000,38.6
94000,38.9
96000,39.0
98000,55.2
100000,61.2
