step,adv_reward/adv_reward_scaled_max
2000,99.9935073852539
4000,100.0
6000,100.0
8000,99.99034118652344
10000,100.0
12000,99.99723815917969
14000,100.0
16000,94.06880187988281
18000,-47.030494689941406
20000,100.0
22000,3.3369855880737305
24000,99.9977035522461
26000,100.0
28000,98.17281341552734
30000,99.99999237060547
32000,100.0
34000,100.0
36000,100.0
38000,100.0
40000,100.0
42000,100.0
44000,100.0
46000,100.0
48000,100.0
50000,100.0
52000,100.0
54000,100.0
56000,100.0
58000,100.0
60000,100.0
62000,100.0
64000,100.0
66000,100.0
68000,100.0
70000,100.0
72000,100.0
74000,100.0
76000,100.0
78000,100.0
80000,100.0
82000,99.99987030029297
84000,100.0
86000,100.0
88000,100.0
90000,99.97000122070312
92000,100.0
94000,100.0
96000,100.0
98000,99.9649429321289
100000,94.61260223388672
