step,loss/value_loss
2000,635053.4797533379
4000,1429898.2486969815
6000,1760133.8539853648
8000,426732.5560138735
10000,1263444.7718826425
12000,2282540.911504782
14000,876880.5391885989
16000,881160.1337842433
18000,258776.3408950125
20000,680649.9294580248
22000,883356.4959756387
24000,527419.2713951111
26000,655885.2743907839
28000,1105092.2445112946
30000,1949680.1735817385
32000,1240440.5597559432
34000,1614128.2810444527
36000,2326137.2774699614
38000,1110784.3921666194
40000,1079101.0972401705
42000,579101.7797267424
44000,1448653.912818789
46000,2053958.8504744794
48000,2458958.8344320008
50000,948622.290481916
52000,2382116.5637850575
54000,2519291.521043925
56000,1658943.8586394826
58000,2629366.067923273
60000,2223725.0916693844
62000,1042990.2424863173
64000,2189580.3150791232
66000,2604523.022622587
68000,956811.9300179282
70000,1879590.0705057266
72000,2222771.0895365095
74000,1038616.1422431428
76000,1896870.3505082442
78000,2188865.2499626214
80000,1212239.9388468212
82000,2025642.4376310264
84000,2166666.470516352
86000,1295029.2598724368
88000,1998667.9201209736
90000,2000968.5816693783
92000,981262.6699355422
94000,2010887.1572359775
96000,3128284.052869326
98000,84233.32483868446
100000,64354.3612665831
