step,adv_reward/adv_reward_scaled_min
2000,100.0
4000,-99.99967956542969
6000,100.0
8000,-91.74414825439453
10000,24.21649169921875
12000,99.99321746826172
14000,-99.99967956542969
16000,99.99998474121094
18000,-92.62442016601562
20000,100.0
22000,-65.62472534179688
24000,99.99889373779297
26000,100.0
28000,-70.52002716064453
30000,30.419469833374023
32000,100.0
34000,-91.99894714355469
36000,62.70394515991211
38000,100.0
40000,99.97244262695312
42000,99.98185729980469
44000,-73.31607818603516
46000,100.0
48000,100.0
50000,-92.20272827148438
52000,-92.86652374267578
54000,99.99999237060547
56000,-59.921138763427734
58000,99.99922180175781
60000,21.23493194580078
62000,-91.74959564208984
64000,100.0
66000,99.99687957763672
68000,100.0
70000,99.91716766357422
72000,100.0
74000,100.0
76000,100.0
78000,99.94554138183594
80000,-91.78408813476562
82000,100.0
84000,-92.02880859375
86000,-65.51265716552734
88000,99.98030853271484
90000,100.0
92000,100.0
94000,100.0
96000,100.0
98000,100.0
100000,-70.2828598022461
