step,stat/ep_constraint_violation
2000,11.2
4000,10.3
6000,12.4
8000,12.2
10000,15.0
12000,17.8
14000,21.3
16000,23.8
18000,17.9
20000,16.2
22000,17.9
24000,18.9
26000,25.1
28000,25.8
30000,22.9
32000,26.9
34000,30.5
36000,17.0
38000,26.9
40000,21.5
42000,23.7
44000,16.7
46000,20.9
48000,19.7
50000,38.8
52000,28.9
54000,23.3
56000,19.1
58000,25.7
60000,31.8
62000,27.4
64000,26.2
66000,22.4
68000,34.4
70000,30.4
72000,36.5
74000,25.0
76000,24.9
78000,36.0
80000,35.1
82000,58.9
84000,39.7
86000,33.5
88000,38.3
90000,43.0
92000,20.4
94000,17.3
96000,19.3
98000,20.3
100000,20.2
