step,loss/value_loss
2000,502468.3740697737
4000,1304964.7086599292
6000,1701589.7324990302
8000,443311.26503164787
10000,1511645.7190943842
12000,1528001.9038870886
14000,911579.4149453326
16000,2463156.286208414
18000,388973.45942367346
20000,876256.7032193752
22000,182864.66518138902
24000,1148588.3265060442
26000,778958.2607294491
28000,235607.06698954914
30000,1933032.2288745265
32000,1029011.5284635186
34000,1391003.4841348121
36000,1262589.1163249747
38000,646366.6391653719
40000,428253.7178955654
42000,439338.6731298015
44000,88011.49708653902
46000,620034.5597350956
48000,366169.0455022331
50000,43976.27583478064
52000,351440.71555978473
54000,1236434.8733282527
56000,614348.2014132492
58000,565529.2651808356
60000,357404.60998493736
62000,268164.9837365391
64000,482758.01834924036
66000,375029.2792630381
68000,357136.6591033398
70000,909369.2679097696
72000,248765.80254586265
74000,796707.6130039737
76000,1016590.2414550999
78000,914766.557644739
80000,557037.5496563406
82000,1784870.495923542
84000,2721330.781457679
86000,761846.0862866982
88000,2009341.2457926243
90000,3002503.39627708
92000,1197814.0075931156
94000,1873514.8590153449
96000,2158161.715858979
98000,1328316.9579244868
100000,625492.3067841519
