step,loss/entropy_loss
2000,-0.9028698047002157
4000,-0.8726036300261816
6000,-0.835266861319542
8000,-0.8003334840138752
10000,-0.7863540957371394
12000,-0.7984428137540818
14000,-0.809608468413353
16000,-0.7931823482116064
18000,-0.7805131494998931
20000,-0.7512775679429373
22000,-0.753378677368164
24000,-0.748001370827357
26000,-0.7506840000549952
28000,-0.7535192241271337
30000,-0.7727183500925701
32000,-0.7743643482526144
34000,-0.7823538740475973
36000,-0.7806927671035131
38000,-0.7478360503911972
40000,-0.7403543124596279
42000,-0.7207625468571981
44000,-0.710200959444046
46000,-0.7064106315374374
48000,-0.6764573474725087
50000,-0.6716827223698298
52000,-0.6748483071724574
54000,-0.6819644659757614
56000,-0.6750324408213297
58000,-0.6726569255193074
60000,-0.681342018644015
62000,-0.6898820410172145
64000,-0.6933257112900416
66000,-0.69465245505174
68000,-0.674423536658287
70000,-0.6719370285669963
72000,-0.6665027995904287
74000,-0.6654886692762376
76000,-0.6279103646675745
78000,-0.6266970922549565
80000,-0.6315153280893961
82000,-0.644094435373942
84000,-0.6525683681170145
86000,-0.6614787876605988
88000,-0.641756256421407
90000,-0.6508694847424825
92000,-0.6409869372844696
94000,-0.6392140458027522
96000,-0.6391615271568298
98000,-0.6400387336810429
100000,-0.6318996240695318
