step,adv_reward/adv_reward_scaled_min
2000,-99.99967956542969
4000,100.0
6000,100.0
8000,-89.45719909667969
10000,99.99897766113281
12000,100.0
14000,-99.99967956542969
16000,91.9517593383789
18000,100.0
20000,99.94535064697266
22000,92.51299285888672
24000,100.0
26000,100.0
28000,-91.78779602050781
30000,-68.79388427734375
32000,100.0
34000,100.0
36000,-63.42449951171875
38000,100.0
40000,-68.5506362915039
42000,100.0
44000,100.0
46000,100.0
48000,-91.64495086669922
50000,99.99996185302734
52000,100.0
54000,99.99999237060547
56000,100.0
58000,-91.3758773803711
60000,-46.930335998535156
62000,-59.086517333984375
64000,-58.43320083618164
66000,99.9671401977539
68000,-68.7049789428711
70000,-93.53311920166016
72000,100.0
74000,99.99999237060547
76000,100.0
78000,99.9999771118164
80000,99.8282470703125
82000,100.0
84000,100.0
86000,100.0
88000,99.9991683959961
90000,-61.26921844482422
92000,-65.59210968017578
94000,-68.80889129638672
96000,-91.22664642333984
98000,-58.83690643310547
100000,79.33322143554688
