step,loss/entropy_loss
2000,-0.9017789502938589
4000,-0.8643412977457047
6000,-0.8470247060060501
8000,-0.8146340300639471
10000,-0.7818542550007502
12000,-0.7574756443500519
14000,-0.7298216680685681
16000,-0.7297509213288625
18000,-0.7520870705445609
20000,-0.7557194223006566
22000,-0.7631799678007761
24000,-0.7515709062417348
26000,-0.7598552813132604
28000,-0.7553615450859069
30000,-0.7474815080563227
32000,-0.7601089109977086
34000,-0.7620034317175548
36000,-0.7616005351146062
38000,-0.7511135598023733
40000,-0.7514075845479966
42000,-0.7731888224681219
44000,-0.7866695463657379
46000,-0.7701082587242126
48000,-0.7475828727086385
50000,-0.7362696786721548
52000,-0.7232478221257528
54000,-0.7336379985014597
56000,-0.7197059502204259
58000,-0.7012665569782256
60000,-0.6913580596446991
62000,-0.6857327620188396
64000,-0.6686115821202596
66000,-0.6473723381757737
68000,-0.6446306218703588
70000,-0.6189948638280234
72000,-0.6112228125333786
74000,-0.5925753643115361
76000,-0.5816982328891755
78000,-0.5889903177817664
80000,-0.5856171667575836
82000,-0.6039168139298756
84000,-0.5940002451340357
86000,-0.5985992630322774
88000,-0.603191109498342
90000,-0.5932269970575967
92000,-0.5791929950316747
94000,-0.5697918196519216
96000,-0.5566854198773702
98000,-0.5495541006326676
100000,-0.5371006548404693
