step,stat/ep_constraint_violation
2000,10.6
4000,12.8
6000,15.0
8000,17.4
10000,18.4
12000,18.7
14000,15.8
16000,17.7
18000,19.4
20000,17.4
22000,20.5
24000,24.5
26000,19.0
28000,28.8
30000,30.5
32000,40.5
34000,23.8
36000,26.5
38000,32.4
40000,41.3
42000,47.9
44000,31.1
46000,25.6
48000,24.6
50000,27.3
52000,23.8
54000,25.2
56000,22.0
58000,30.5
60000,45.6
62000,26.1
64000,38.2
66000,23.6
68000,43.9
70000,41.2
72000,33.0
74000,40.5
76000,46.9
78000,53.8
80000,53.8
82000,56.7
84000,41.9
86000,39.0
88000,47.6
90000,32.3
92000,27.4
94000,37.6
96000,54.4
98000,44.5
100000,36.8
