step,adv_reward/adv_reward_scaled_mean
2000,-14.514434814453125
4000,100.0
6000,100.0
8000,-14.35007095336914
10000,99.99935913085938
12000,100.0
14000,50.00008010864258
16000,95.11746978759766
18000,100.0
20000,99.97518920898438
22000,95.40263366699219
24000,100.0
26000,100.0
28000,-54.28160095214844
30000,-39.38676071166992
32000,100.0
34000,100.0
36000,-45.57954406738281
38000,100.0
40000,-62.17980194091797
42000,100.0
44000,100.0
46000,100.0
48000,-34.031368255615234
50000,99.99998474121094
52000,100.0
54000,100.0
56000,100.0
58000,-28.210891723632812
60000,-7.913381576538086
62000,-29.204526901245117
64000,-19.127071380615234
66000,99.98391723632812
68000,-37.105648040771484
70000,-68.72086334228516
72000,100.0
74000,99.99999237060547
76000,100.0
78000,99.9999771118164
80000,99.891357421875
82000,100.0
84000,100.0
86000,100.0
88000,99.99935913085938
90000,-46.719398498535156
92000,-12.551076889038086
94000,-37.08127975463867
96000,-59.183006286621094
98000,-49.25282287597656
100000,85.63314056396484
