step,loss/value_loss
2000,411709.64638221747
4000,1949996.0882874527
6000,2137312.8230318436
8000,499820.263768295
10000,897388.7721075474
12000,377149.07289374707
14000,274187.67766415526
16000,883574.5245268723
18000,1657776.2792008023
20000,254820.2960260436
22000,164361.06873919425
24000,2282803.8930169553
26000,494760.1910640254
28000,133020.25696713885
30000,1475854.4079557536
32000,1376446.9298090388
34000,1493507.075614906
36000,1567306.681494252
38000,575260.7287003201
40000,826220.972823221
42000,1959566.5673900016
44000,1661233.239615574
46000,2013222.3269744068
48000,192357.22809423227
50000,346919.5346463301
52000,1185983.346819422
54000,1372188.3332505901
56000,446898.6802055134
58000,629752.3742395069
60000,1036062.2286498867
62000,385599.45484514115
64000,1071503.698685829
66000,520151.00029050495
68000,347781.8755574843
70000,914170.7293057665
72000,2929037.324189359
74000,307412.1204751961
76000,1828288.6460305783
78000,3169111.8778375015
80000,1192125.5261787584
82000,1201611.3511369862
84000,1337837.9653961933
86000,931876.8745816723
88000,847666.3574193825
90000,1863436.3088848938
92000,1149675.186299081
94000,406323.13587635907
96000,292288.0007698744
98000,234937.2528066847
100000,623353.3577818451
