step,loss/value_loss
2000,4569183.948019188
4000,8436812.346434254
6000,8340159.837089844
8000,3878337.6900372086
10000,12557606.184280291
12000,7687034.766739881
14000,6775783.559741485
16000,3223327.4038710976
18000,13064520.141121734
20000,5198395.155532228
22000,15293023.599040592
24000,48372090.38768689
26000,2467189.1768703633
28000,162578.65319101565
30000,4488704.199895056
32000,3968276.091405589
34000,6056591.447069643
36000,2498157.3558302377
38000,4398871.329518354
40000,10130028.219879901
42000,4620183.882143168
44000,1815996.1037917212
46000,206818.77611899166
48000,1344576.3010359004
50000,705176.9246346403
52000,1869118.054216224
54000,290029.55698473484
56000,5234600.96588746
58000,1172788.3096833252
60000,447829.2831798751
62000,316581.7158570631
64000,1425609.432622789
66000,84582.1018350669
68000,85492.65379425464
70000,737866.2081092986
72000,2049952.5673884302
74000,631283.366996591
76000,373073.7184572274
78000,2502815.117406065
80000,63683.67830530207
82000,913029.3107400365
84000,46908.635535749825
86000,642297.8004584009
88000,484727.7361191527
90000,1184037.536828523
92000,39192.898598035405
94000,500632.75272106024
96000,177506.38190156483
98000,298758.73726227536
100000,73065.5065547266
