step,stat/constraint_violation
2000,1170
4000,2359
6000,3590
8000,4781
10000,6020
12000,7082
14000,8098
16000,8928
18000,9843
20000,10621
22000,11733
24000,12961
26000,13898
28000,14600
30000,15512
32000,16306
34000,16983
36000,18137
38000,18881
40000,19935
42000,20660
44000,21574
46000,22433
48000,23123
50000,23628
52000,24307
54000,24840
56000,25609
58000,26263
60000,26924
62000,27484
64000,28245
66000,29024
68000,29572
70000,30058
72000,30642
74000,31477
76000,32109
78000,32672
80000,33100
82000,33363
84000,33740
86000,34005
88000,34241
90000,34583
92000,34847
94000,35185
96000,35705
98000,36075
100000,36503
