step,stat/ep_constraint_violation
2000,8.9
4000,11.5
6000,14.2
8000,17.1
10000,18.1
12000,20.8
14000,22.2
16000,21.9
18000,23.1
20000,20.6
22000,29.9
24000,29.4
26000,20.4
28000,22.8
30000,24.7
32000,19.6
34000,20.8
36000,18.6
38000,27.3
40000,38.3
42000,30.2
44000,17.7
46000,25.7
48000,24.1
50000,24.6
52000,36.0
54000,25.3
56000,24.2
58000,22.0
60000,28.7
62000,38.0
64000,36.3
66000,24.4
68000,27.3
70000,27.3
72000,31.4
74000,27.3
76000,21.1
78000,32.5
80000,30.1
82000,24.1
84000,23.3
86000,23.4
88000,20.3
90000,21.2
92000,23.4
94000,22.9
96000,35.8
98000,31.3
100000,33.5
