step,loss/entropy_loss
2000,-0.9028272827466329
4000,-0.8638384501139322
6000,-0.8282360712687176
8000,-0.7967266251643499
10000,-0.7586028387149175
12000,-0.7518551896015803
14000,-0.7345667064189911
16000,-0.6992841144402822
18000,-0.6719492882490158
20000,-0.6456836620966594
22000,-0.6448716074228287
24000,-0.6335706929365794
26000,-0.654887326558431
28000,-0.6749084969361624
30000,-0.638215692838033
32000,-0.6412881612777709
34000,-0.6499185144901276
36000,-0.6490708241860073
38000,-0.6447449803352356
40000,-0.6384376198053359
42000,-0.6498196303844452
44000,-0.6541792084773381
46000,-0.6469699362913768
48000,-0.6434150685866673
50000,-0.6402952243884404
52000,-0.613923865556717
54000,-0.6231202483177185
56000,-0.6232819229364395
58000,-0.6234565377235413
60000,-0.6234565377235413
62000,-0.6235966086387634
64000,-0.6237512687842052
66000,-0.6248401403427124
68000,-0.625320553779602
70000,-0.6253543506066004
72000,-0.6253437995910645
74000,-0.6253087719281514
76000,-0.6253030896186829
78000,-0.6253030896186829
80000,-0.6253030896186829
82000,-0.6253030896186829
84000,-0.6252586245536804
86000,-0.6252586245536804
88000,-0.6251806616783142
90000,-0.6251806616783142
92000,-0.6251806616783142
94000,-0.6256524920463562
96000,-0.6258949041366577
98000,-0.625916987657547
100000,-0.6259685158729553
