step,stat/ep_length
2000,12.3
4000,18.9
6000,31.5
8000,35.4
10000,41.6
12000,42.3
14000,37.1
16000,24.2
18000,39.7
20000,34.8
22000,41.4
24000,51.7
26000,45.4
28000,56.9
30000,75.8
32000,81.7
34000,45.0
36000,48.2
38000,53.9
40000,59.1
42000,87.7
44000,84.1
46000,63.3
48000,61.6
50000,85.4
52000,74.9
54000,45.2
56000,47.7
58000,46.5
60000,49.9
62000,45.6
64000,42.1
66000,45.8
68000,41.7
70000,43.3
72000,47.9
74000,43.6
76000,42.1
78000,45.1
80000,43.8
82000,40.0
84000,41.6
86000,44.5
88000,42.0
90000,42.6
92000,44.9
94000,45.8
96000,48.0
98000,41.8
100000,44.8
