step,adv_reward/adv_reward_scaled_mean
2000,-30.436304092407227
4000,100.0
6000,100.0
8000,-50.76560974121094
10000,100.0
12000,95.58453369140625
14000,100.0
16000,100.0
18000,99.99948120117188
20000,100.0
22000,-56.386722564697266
24000,-62.08663558959961
26000,100.0
28000,100.0
30000,99.99800109863281
32000,100.0
34000,100.0
36000,-58.354087829589844
38000,100.0
40000,-42.5665397644043
42000,100.0
44000,-54.94220733642578
46000,20.80543327331543
48000,98.84335327148438
50000,100.0
52000,-50.84867858886719
54000,99.99996948242188
56000,100.0
58000,100.0
60000,100.0
62000,100.0
64000,100.0
66000,100.0
68000,100.0
70000,-4.399381637573242
72000,100.0
74000,50.00008010864258
76000,100.0
78000,100.0
80000,50.00008010864258
82000,100.0
84000,100.0
86000,100.0
88000,100.0
90000,100.0
92000,100.0
94000,100.0
96000,100.0
98000,100.0
100000,100.0
