step,adv_reward/adv_reward_scaled_min
2000,99.99998474121094
4000,100.0
6000,100.0
8000,-90.46224975585938
10000,100.0
12000,99.99999237060547
14000,100.0
16000,100.0
18000,-6.523183822631836
20000,100.0
22000,100.0
24000,100.0
26000,100.0
28000,100.0
30000,-92.95204162597656
32000,100.0
34000,-76.001953125
36000,-90.83502960205078
38000,100.0
40000,-92.65203857421875
42000,100.0
44000,99.99942779541016
46000,52.141815185546875
48000,100.0
50000,-76.127197265625
52000,-77.20812225341797
54000,-22.636667251586914
56000,100.0
58000,99.999755859375
60000,99.99969482421875
62000,99.93506622314453
64000,-99.99967956542969
66000,-90.8770980834961
68000,100.0
70000,100.0
72000,100.0
74000,97.40091705322266
76000,99.99999237060547
78000,100.0
80000,100.0
82000,100.0
84000,99.99015045166016
86000,100.0
88000,96.1460952758789
90000,99.9990005493164
92000,-73.1192626953125
94000,99.99959564208984
96000,-70.08660125732422
98000,74.61170196533203
100000,99.99385833740234
