step,loss/value_loss
2000,533725.3998210948
4000,1196803.3614109461
6000,2062183.6491499995
8000,436980.85860322556
10000,643811.219594013
12000,1251848.28975661
14000,1933854.3557872802
16000,1407964.2795010558
18000,1595725.9154949435
20000,1304712.9555071963
22000,483478.5463397166
24000,1212779.4425839735
26000,134730.7681970921
28000,487274.82526543166
30000,1179050.0843019374
32000,48506.08938250721
34000,205939.53598847514
36000,306195.6098606648
38000,393290.42949736456
40000,473459.2158235555
42000,537865.081880357
44000,827892.8743750572
46000,1297914.1824445396
48000,1070368.6173368364
50000,671205.3981101017
52000,595023.7197918415
54000,336549.58255549055
56000,83996.50380293853
58000,826360.6539180466
60000,715859.7444332449
62000,273674.68614637235
64000,34054.959195657044
66000,85635.11109146665
68000,801650.7713232571
70000,290500.06849787576
72000,1108544.8071743168
74000,683958.5583241289
76000,2185190.8180498416
78000,543988.6634419294
80000,49667.743886490185
82000,392183.3601152964
84000,32380.930104824434
86000,175728.7481636556
88000,326524.43748211814
90000,236435.04448666354
92000,120093.2401677134
94000,43081.97263018963
96000,151486.9296341567
98000,540738.5579296944
100000,97681.4378451739
