step,stat/constraint_violation
2000,1079
4000,2134
6000,3191
8000,4153
10000,5083
12000,6006
14000,6845
16000,7690
18000,8464
20000,9115
22000,9708
24000,10687
26000,11387
28000,12202
30000,12915
32000,13576
34000,14332
36000,15371
38000,16148
40000,16898
42000,17613
44000,18532
46000,19681
48000,20645
50000,21229
52000,21758
54000,22388
56000,22906
58000,23560
60000,24132
62000,24694
64000,25130
66000,25760
68000,26219
70000,26774
72000,27321
74000,28324
76000,29180
78000,29641
80000,29971
82000,30345
84000,30772
86000,31365
88000,31665
90000,32247
92000,32636
94000,33040
96000,33546
98000,33891
100000,34480
