step,stat/ep_length
2000,11.2
4000,16.7
6000,28.1
8000,38.2
10000,39.6
12000,45.7
14000,38.1
16000,57.8
18000,43.4
20000,53.7
22000,61.4
24000,43.9
26000,46.3
28000,58.6
30000,64.8
32000,49.6
34000,56.5
36000,49.5
38000,48.7
40000,57.3
42000,83.9
44000,34.8
46000,21.6
48000,49.2
50000,69.0
52000,94.8
54000,103.8
56000,108.4
58000,51.1
60000,86.6
62000,100.7
64000,95.2
66000,46.8
68000,101.2
70000,76.2
72000,78.4
74000,42.0
76000,49.8
78000,82.9
80000,107.9
82000,116.4
84000,109.9
86000,101.7
88000,106.8
90000,98.8
92000,82.5
94000,111.3
96000,143.4
98000,50.6
100000,86.4
