step,loss/entropy_loss
2000,-0.9030938297510147
4000,-0.8513395716746649
6000,-0.798153841495514
8000,-0.7780445148547491
10000,-0.736897087097168
12000,-0.7431867102781932
14000,-0.7337549934784572
16000,-0.7068976451953252
18000,-0.7078067392110825
20000,-0.695087234179179
22000,-0.6944245874881745
24000,-0.6565822352965673
26000,-0.6585997790098189
28000,-0.6433052827914556
30000,-0.6225776692231497
32000,-0.6202415694793065
34000,-0.623890973130862
36000,-0.5948973288138707
38000,-0.5584128389755885
40000,-0.5366924424966175
42000,-0.5214383582274118
44000,-0.5038380046685538
46000,-0.5033856550852457
48000,-0.48955111900965376
50000,-0.48298224707444515
52000,-0.47795750300089523
54000,-0.4722532620032628
56000,-0.4599502523740132
58000,-0.44811777373154954
60000,-0.4198745995759964
62000,-0.4160815795262655
64000,-0.41024516224861146
66000,-0.40768460234006254
68000,-0.38841819564501445
70000,-0.37594562371571855
72000,-0.36824241479237874
74000,-0.36038179198900855
76000,-0.36025340159734087
78000,-0.3674419403076172
80000,-0.37381671865781146
82000,-0.37611895600954687
84000,-0.3746452748775482
86000,-0.3883233706156412
88000,-0.382178682088852
90000,-0.3654047330220541
92000,-0.3448574324448903
94000,-0.34692584872245785
96000,-0.3344602505366007
98000,-0.32292429407437645
100000,-0.3043495158354442
