step,loss/entropy_loss
2000,-0.9215743064880373
4000,-0.9065275619427362
6000,-0.8978026141722998
8000,-0.8850162833929062
10000,-0.8761859277884166
12000,-0.8717479328314465
14000,-0.872266310453415
16000,-0.8516761938730877
18000,-0.8328347951173782
20000,-0.801469777027766
22000,-0.7919548759857813
24000,-0.7773438016573588
26000,-0.7669595946868262
28000,-0.7637107382218042
30000,-0.7832289934158325
32000,-0.7832719812790553
34000,-0.7890608300765355
36000,-0.7873033076524735
38000,-0.748529714345932
40000,-0.7463104585806528
42000,-0.7556135912736258
44000,-0.7370260298252105
46000,-0.7232521841923396
48000,-0.7054944515228271
50000,-0.6712655822436014
52000,-0.6572536120812098
54000,-0.6343592504660288
56000,-0.6296972910563152
58000,-0.6196092784404754
60000,-0.6176461845636367
62000,-0.6059563209613165
64000,-0.5772323826948801
66000,-0.5483880867560704
68000,-0.5566213707129161
70000,-0.5416331400473913
72000,-0.5381365329027176
74000,-0.5353908816973368
76000,-0.5166208058595658
78000,-0.5105014522870381
80000,-0.5110275904337565
82000,-0.4898295670747757
84000,-0.48954015970230114
86000,-0.47112042109171554
88000,-0.4681621193885803
90000,-0.4677980065345764
92000,-0.46426742871602383
94000,-0.4652487734953562
96000,-0.4809388866027196
98000,-0.459859158595403
100000,-0.4256324370702108
