step,stat/ep_constraint_violation
2000,10.9
4000,12.3
6000,18.7
8000,18.3
10000,15.8
12000,24.1
14000,25.4
16000,18.4
18000,27.4
20000,25.1
22000,23.2
24000,24.9
26000,25.2
28000,31.7
30000,40.4
32000,30.6
34000,31.1
36000,21.8
38000,22.9
40000,35.9
42000,33.7
44000,28.9
46000,30.0
48000,24.6
50000,36.7
52000,23.4
54000,26.4
56000,23.6
58000,20.3
60000,24.2
62000,36.9
64000,24.6
66000,26.2
68000,21.7
70000,21.5
72000,17.0
74000,27.2
76000,28.1
78000,32.5
80000,40.0
82000,28.7
84000,27.4
86000,43.0
88000,44.9
90000,36.4
92000,32.5
94000,45.0
96000,26.0
98000,22.7
100000,31.0
