step,stat/ep_length
2000,13.4
4000,15.0
6000,35.7
8000,38.3
10000,26.0
12000,39.0
14000,44.9
16000,42.0
18000,47.6
20000,48.1
22000,44.2
24000,49.9
26000,45.4
28000,57.6
30000,69.4
32000,61.0
34000,92.4
36000,41.0
38000,46.8
40000,76.2
42000,80.8
44000,54.8
46000,59.0
48000,46.0
50000,81.3
52000,48.0
54000,68.3
56000,49.0
58000,42.3
60000,70.8
62000,64.0
64000,58.2
66000,68.2
68000,79.1
70000,59.7
72000,90.3
74000,82.3
76000,93.7
78000,95.1
80000,95.1
82000,57.7
84000,85.6
86000,100.2
88000,108.6
90000,83.9
92000,79.7
94000,135.8
96000,150.0
98000,129.7
100000,99.9
