step,adv_reward/adv_reward_scaled_max
2000,100.0
4000,100.0
6000,100.0
8000,99.99970245361328
10000,99.99370574951172
12000,100.0
14000,100.0
16000,47.09413146972656
18000,100.0
20000,99.9948959350586
22000,100.0
24000,100.0
26000,98.5309829711914
28000,100.0
30000,-49.43504333496094
32000,100.0
34000,100.0
36000,100.0
38000,99.97901916503906
40000,-54.77450942993164
42000,100.0
44000,100.0
46000,100.0
48000,100.0
50000,100.0
52000,100.0
54000,100.0
56000,99.99974060058594
58000,100.0
60000,100.0
62000,100.0
64000,100.0
66000,100.0
68000,99.99971008300781
70000,100.0
72000,100.0
74000,100.0
76000,100.0
78000,100.0
80000,100.0
82000,100.0
84000,100.0
86000,99.9990234375
88000,100.0
90000,100.0
92000,100.0
94000,100.0
96000,100.0
98000,100.0
100000,100.0
