step,stat/constraint_violation
2000,1155
4000,2205
6000,3234
8000,4214
10000,5211
12000,6174
14000,7121
16000,8076
18000,9126
20000,10106
22000,11113
24000,11992
26000,12883
28000,13738
30000,14632
32000,15560
34000,16396
36000,17246
38000,18128
40000,18816
42000,19490
44000,20696
46000,22106
48000,23670
50000,25108
52000,26620
54000,28117
56000,29641
58000,31116
60000,32687
62000,34176
64000,35673
66000,37227
68000,38675
70000,40119
72000,41658
74000,43113
76000,44544
78000,46139
80000,47639
82000,49121
84000,50686
86000,52118
88000,53612
90000,55210
92000,56713
94000,58157
96000,59724
98000,61245
100000,62688
