step,loss/value_loss
2000,805275.5660861704
4000,1643038.2169974148
6000,1129236.9550423236
8000,1007809.0503124619
10000,144644.304856726
12000,561447.1192115863
14000,495731.35932338674
16000,1537092.3663318122
18000,2355930.739447209
20000,1041719.0938573696
22000,938534.4603949704
24000,944490.0798595747
26000,117006.83577909778
28000,1372461.7975426614
30000,1328048.1502517345
32000,555362.3763732079
34000,437997.52386528935
36000,1482100.74684672
38000,268914.9612214071
40000,485054.14454372646
42000,389550.9367992635
44000,916937.4654383134
46000,2061747.958719289
48000,2005925.6805946722
50000,695033.3214097677
52000,1943899.6890380115
54000,2011718.9785919576
56000,954814.2461137954
58000,1898079.222799691
60000,1810095.0934509286
62000,701535.1701855003
64000,1964181.236590419
66000,1922458.543229341
68000,672441.5281179922
70000,1910497.2537013092
72000,1808064.0329998857
74000,712372.9812579349
76000,1888462.5416546713
78000,1868759.4196427464
80000,717849.590542696
82000,1677047.1707156326
84000,1731086.236357614
86000,753162.9234394769
88000,1856985.7569061392
90000,1836006.2632073686
92000,640801.4415058724
94000,1681611.1228899495
96000,1823230.514713325
98000,625633.6537535826
100000,1797935.4878334254
