experiment,seed,system,num_corrections,total_correction_magnitude,max_correction,avg_correction,episode_length_cert,episode_length_uncert,constraint_violations_cert,constraint_violations_uncert,rmse_cert,rmse_uncert,theta_max,theta_dot_max
state_only,2,quadrotor_2D,54,0.2880820704149893,0.18693549559788353,0.007806386076270981,96,67,0,43,0.5989251172451896,0.6474405334370801,0.24748020914727747,1.9798876352772796
no_correction_mag,2,quadrotor_2D,67,0.787568419806799,0.22412853992705495,0.033003660507556425,97,63,0,48,1.4555304046152018,1.1903782713019206,0.247679599852124,1.9752862439998606
no_correction_bonus,2,quadrotor_2D,70,0.7916997743122518,0.2251914163731382,0.03414516844874337,95,62,0,49,1.4432610855056551,1.202114044162926,0.24765226071742014,1.9752862439498446
no_velocity,2,quadrotor_2D,59,0.7922643809328128,0.22167105706471257,0.03305215306606992,100,68,0,43,1.4294684488627525,1.2377457952779796,0.24765229155339083,1.9752862440260592
no_stability_penalty,2,quadrotor_2D,66,0.7892991534809461,0.22177868282957608,0.03389948199526054,97,64,0,47,1.4424333091945438,1.2023867264407058,0.24765226453670083,1.9752862440171342
no_altitude_penalty,2,quadrotor_2D,62,0.7751404361898492,0.22256435675291364,0.03216480122756959,98,64,0,46,1.4527147308187804,1.1874172964658136,0.2476796025856033,1.9752862439882348
no_position_reward,2,quadrotor_2D,62,0.8038986314066017,0.2218300056389348,0.035361843904139725,97,64,0,46,1.43277819694965,1.1895973045116084,0.24762897909704,1.9752862440263983
w_correction_10,2,quadrotor_2D,66,0.7831835458710638,0.22465062039699302,0.0324075154094355,98,65,0,46,1.4457027572085515,1.2037262352795515,0.24767963916287195,1.9752862440261887
temp_30,2,quadrotor_2D,59,0.7829944865268504,0.22311367314842914,0.031542357654745834,101,68,0,40,1.4451922919926945,1.2121740764343059,0.247679614770792,1.9752862439895214
temp_500,2,quadrotor_2D,52,0.7905863345426961,0.2219189681398829,0.031990815982081505,102,71,0,36,1.4157735582540893,1.2478793903309435,0.24762899154097018,1.9752862440176504
