step,stat/constraint_violation
10000,368
20000,805
30000,1159
40000,1477
50000,1773
60000,2130
70000,2611
80000,2911
90000,3337
100000,3748
110000,4247
120000,4715
130000,5397
140000,6127
150000,6920
160000,7621
170000,8429
180000,9172
190000,9970
200000,10747
210000,11640
220000,12351
230000,13179
240000,13989
250000,14784
260000,15431
270000,16244
280000,17010
290000,17708
300000,18458
310000,19279
320000,20086
330000,20927
340000,21740
350000,22525
360000,23414
370000,24228
380000,25019
390000,25847
400000,26647
410000,27429
420000,28223
430000,28983
440000,29774
450000,30531
460000,31451
470000,32153
480000,32815
490000,33606
500000,34509
