step,stat/ep_constraint_violation
10000,8.4
20000,7.4
30000,2.6
40000,6.8
50000,2.7
60000,3.6
70000,7.6
80000,3.9
90000,5.7
100000,2.7
110000,5.2
120000,5.5
130000,5.0
140000,7.9
150000,6.6
160000,7.0
170000,10.1
180000,4.5
190000,5.9
200000,5.4
210000,7.5
220000,2.7
230000,4.4
240000,8.4
250000,6.8
260000,1.6
270000,6.7
280000,9.0
290000,7.9
300000,8.3
310000,5.3
320000,6.7
330000,7.3
340000,6.4
350000,6.9
360000,8.7
370000,7.3
380000,6.2
390000,6.2
400000,10.0
410000,4.2
420000,8.6
430000,7.1
440000,7.6
450000,9.4
460000,7.7
470000,8.6
480000,8.7
490000,5.7
500000,4.0
