step,stat/ep_length
10000,164.9
20000,99.2
30000,52.1
40000,113.3
50000,88.2
60000,94.7
70000,135.1
80000,151.0
90000,133.3
100000,112.8
110000,127.9
120000,132.2
130000,74.1
140000,106.5
150000,129.0
160000,105.0
170000,96.7
180000,60.2
190000,108.0
200000,114.1
210000,71.4
220000,75.4
230000,59.2
240000,89.8
250000,78.9
260000,65.8
270000,79.7
280000,130.7
290000,107.4
300000,99.4
310000,63.7
320000,68.9
330000,110.8
340000,96.4
350000,91.9
360000,95.6
370000,62.9
380000,71.0
390000,90.2
400000,152.0
410000,50.3
420000,120.3
430000,63.9
440000,143.0
450000,123.4
460000,93.1
470000,109.3
480000,76.8
490000,83.2
500000,36.6
