step,stat/ep_length
10000,164.9
20000,99.2
30000,52.1
40000,113.3
50000,88.2
60000,94.7
70000,135.1
80000,151.0
90000,133.3
100000,112.8
110000,127.9
120000,132.2
130000,129.3
140000,76.1
150000,63.4
160000,86.6
170000,50.6
180000,85.3
190000,137.6
200000,55.3
210000,95.8
220000,109.8
230000,62.7
240000,105.7
250000,82.5
260000,78.1
270000,64.2
280000,95.1
290000,80.5
300000,100.7
310000,136.5
320000,65.7
330000,75.9
340000,90.4
350000,60.8
360000,122.2
370000,55.4
380000,56.5
390000,123.4
400000,41.8
410000,96.8
420000,88.5
430000,130.1
440000,77.2
450000,100.9
460000,105.1
470000,77.0
480000,71.9
490000,91.8
500000,96.9
