step,loss/value_loss
10000,442107.64542654884
20000,271558.9785637416
30000,208498.5650673814
40000,242703.42429975723
50000,161446.03224260738
60000,88102.61423186086
70000,144211.11686942133
80000,167520.52307887533
90000,64424.48205176523
100000,91722.80022480033
110000,49294.57709025682
120000,50333.36068353245
130000,15099.559669398124
140000,11937.087127007506
150000,12695.64494016093
160000,9202.453391019422
170000,4970.439392083245
180000,5599.006553937564
190000,17419.852674743794
200000,8936.597872209166
210000,21088.44042235705
220000,5695.618295047114
230000,19168.430259953424
240000,4659.753334587507
250000,2739.6213225876104
260000,3965.460634934831
270000,4261.404735091717
280000,18027.473374259323
290000,4789.3331696940495
300000,6571.332541167851
310000,7671.0151069947
320000,5935.468890206717
330000,11158.784269755452
340000,3133.422900238052
350000,2925.23020496604
360000,6190.892945067413
370000,6505.051877759066
380000,10488.973054290724
390000,4905.263471375839
400000,8487.904167453706
410000,5433.667002842725
420000,6226.59310799792
430000,10027.934783719447
440000,10343.77111078482
450000,19230.093778543072
460000,9019.27439090666
470000,7048.019353301252
480000,2642.3706521499985
490000,2774.0639882421515
500000,3087.985329842347
