step,stat/constraint_violation
10000,368
20000,805
30000,1159
40000,1477
50000,1773
60000,2130
70000,2611
80000,2911
90000,3337
100000,3748
110000,4247
120000,4715
130000,5462
140000,6297
150000,7013
160000,7726
170000,8545
180000,9331
190000,10115
200000,11053
210000,11894
220000,12622
230000,13383
240000,14170
250000,14923
260000,15630
270000,16466
280000,17157
290000,17933
300000,18651
310000,19444
320000,20250
330000,21132
340000,21803
350000,22754
360000,23499
370000,24280
380000,25066
390000,25814
400000,26490
410000,27221
420000,28015
430000,28703
440000,29317
450000,30157
460000,30968
470000,31671
480000,32430
490000,33267
500000,33976
