step,stat/ep_length
10000,164.9
20000,99.2
30000,52.1
40000,113.3
50000,88.2
60000,94.7
70000,135.1
80000,151.0
90000,133.3
100000,112.8
110000,127.9
120000,132.2
130000,94.6
140000,37.0
150000,86.1
160000,87.2
170000,88.0
180000,98.1
190000,122.8
200000,51.3
210000,158.3
220000,87.5
230000,99.3
240000,90.5
250000,66.7
260000,85.4
270000,91.7
280000,106.0
290000,118.7
300000,86.3
310000,91.8
320000,74.8
330000,88.9
340000,94.9
350000,60.0
360000,78.2
370000,101.2
380000,91.1
390000,91.1
400000,131.7
410000,63.6
420000,107.3
430000,81.5
440000,101.2
450000,81.0
460000,65.9
470000,75.8
480000,98.3
490000,99.1
500000,119.5
