step,stat/ep_constraint_violation
10000,8.4
20000,7.4
30000,2.6
40000,6.8
50000,2.7
60000,3.6
70000,7.6
80000,3.9
90000,5.7
100000,2.7
110000,5.2
120000,5.5
130000,11.0
140000,7.9
150000,8.6
160000,6.1
170000,7.1
180000,2.3
190000,5.2
200000,3.8
210000,8.3
220000,5.6
230000,8.9
240000,9.6
250000,7.1
260000,1.7
270000,8.6
280000,4.8
290000,4.4
300000,9.3
310000,3.3
320000,5.6
330000,5.2
340000,7.2
350000,8.2
360000,6.3
370000,6.5
380000,11.3
390000,5.4
400000,6.7
410000,6.7
420000,7.6
430000,8.8
440000,6.2
450000,9.0
460000,8.3
470000,5.8
480000,7.8
490000,11.3
500000,5.7
