step,stat/ep_length
10000,164.9
20000,99.2
30000,52.1
40000,113.3
50000,88.2
60000,94.7
70000,135.1
80000,151.0
90000,133.3
100000,112.8
110000,127.9
120000,132.2
130000,104.2
140000,107.4
150000,156.6
160000,89.1
170000,124.6
180000,45.5
190000,74.7
200000,64.7
210000,94.3
220000,70.7
230000,105.3
240000,118.9
250000,106.1
260000,63.8
270000,109.6
280000,78.4
290000,80.8
300000,137.0
310000,65.1
320000,91.9
330000,79.6
340000,101.1
350000,90.0
360000,87.8
370000,75.7
380000,103.1
390000,48.0
400000,66.1
410000,128.7
420000,109.8
430000,145.1
440000,63.6
450000,91.6
460000,110.4
470000,74.8
480000,98.4
490000,121.4
500000,73.7
